Ref	Idx	Greek	Editions	TAGNT-Idx	SBL:Idx	SBL:TAGNT-Idx	NA28:Idx	NA28:TAGNT-Idx	RP05:Idx	RP05:TAGNT-Idx	|
Mat.14.28	@2:4	πρός	RP TR	@14					@13	@14	|
Mat.14.28	@2:5	σε	RP TR	@15					@14	@15	|
Mat.14.28	@2:6	ἐλθεῖν	RP TR	@13					@15	@13	|
Mat.14.29	@1:1	πλοίου	SBL WH Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.14.29	@1:2	ὁ	RP NA28 NA27 NIV TR	@10			@10	@10	@10	@10	|
Mat.14.29	@2:1	καὶ	SBL WH NA28 NA27 NIV	@16	@15	@16	@16	@16			|
Mat.14.29	@2:2	ἦλθεν	SBL WH NA28 NA27 NIV	@17	@16	@17	@17	@17			|
Mat.14.29	@2:3	ἐλθεῖν	Treg RP TR	@80					@16	@80	|
Mat.14.30	@1:1	ἰσχυρὸν	SBL Treg RP NA28 NA27 TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.14.32	@1:1	ἀναβάντων	SBL WH Treg NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Mat.14.32	@1:2	ἐμβάντων	RP TR	@80					@2	@80	|
Mat.14.33	@1:1	πλοίῳ	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.14.33	@1:2	ἐλθόντες	Treg RP TR	@6					@6	@6	|
Mat.14.34	@1:1	ἐπὶ	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.14.34	@1:2	τὴν	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.14.34	@1:3	γῆν	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.14.34	@1:4	εἰς	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.14.34	@1:5	εἰς	RP TR	@7					@4	@7	|
Mat.14.34	@1:6	τὴν	RP TR	@5					@5	@5	|
Mat.14.34	@1:7	γῆν	RP TR	@6					@6	@6	|
Mat.15.1	@1:1	Ἰησοῦ	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.15.1	@1:2	οἱ	RP TR	@5					@5	@5	|
Mat.15.1	@2:1	Φαρισαῖοι	SBL WH Treg NA28 NA27 NIV	@8	@7	@8	@7	@8			|
Mat.15.1	@2:2	καὶ	SBL WH Treg NA28 NA27 NIV	@9	@8	@9	@8	@9			|
Mat.15.1	@2:3	γραμματεῖς	SBL WH Treg NA28 NA27 NIV	@10	@9	@10	@9	@10			|
Mat.15.1	@2:4	γραμματεῖς	RP TR	@10					@8	@10	|
Mat.15.1	@2:5	καὶ	RP TR	@9					@9	@9	|
Mat.15.1	@2:6	Φαρισαῖοι	RP TR	@8					@10	@8	|
Mat.15.2	@1:1	αὐτῶν	SBL Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Mat.15.4	@1:1	εἶπεν	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.15.4	@1:2	ἐνετείλατο	RP TR	@80					@4	@80	|
Mat.15.4	@1:3	λέγων	RP TR	@5					@5	@5	|
Mat.15.6	@1:1	οὐ	SBL WH Treg NA28 NA27 NIV	@2	@1	@2	@1	@2			|
Mat.15.6	@1:2	καὶ	RP TR	@1					Mat.15.5#18	@1	|
Mat.15.6	@1:3	οὐ	RP TR	@82					Mat.15.5#19	@82	|
Mat.15.6	@2:1	τιμήσει	SBL WH Treg NA28 NA27 NIV	@4	@3	@4	@3	@4			|
Mat.15.6	@2:2	τιμήσῃ	RP TR	@80					Mat.15.5#21	@80	|
Mat.15.6	@3:1	αὐτοῦ	SBL WH Treg RP NA28 NA27 NIV TR		@6	@7	@6	@7	Mat.15.5#24	@86	|
Mat.15.6	@3:2	ἢ	Treg RP TR	@8					Mat.15.5#25	@8	|
Mat.15.6	@3:3	τὴν	Treg RP TR	@9					Mat.15.5#26	@9	|
Mat.15.6	@3:4	μητέρα	Treg RP TR	@10					Mat.15.5#27	@10	|
Mat.15.6	@3:5	αὐτοῦ	Treg RP TR	@11					Mat.15.5#28	@11	|
Mat.15.6	@4:1	τὸν	SBL WH Treg NA28 NA27 NIV	@14	@9	@14	@9	@14			|
Mat.15.6	@4:2	λόγον	SBL WH Treg NA28 NA27 NIV	@15	@10	@15	@10	@15			|
Mat.15.6	@4:3	τὴν	RP TR	@87					@3	@87	|
Mat.15.6	@4:4	ἐντολὴν	RP TR	@81					@4	@81	|
Mat.15.8	@1:1	Ὁ	SBL WH Treg NA28 NA27 NIV	@3	@1	@3	@1	@3			|
Mat.15.8	@1:2	λαὸς	SBL WH Treg NA28 NA27 NIV	@4	@2	@4	@2	@4			|
Mat.15.8	@1:3	οὗτος	SBL WH Treg NA28 NA27 NIV	@5	@3	@5	@3	@5			|
Mat.15.8	@1:4	Ἐγγίζει	RP TR	@1					@1	@1	|
Mat.15.8	@1:5	μοι	RP TR	@2					@2	@2	|
Mat.15.8	@1:6	ὁ	RP TR	@3					@3	@3	|
Mat.15.8	@1:7	λαὸς	RP TR	@4					@4	@4	|
Mat.15.8	@1:8	οὗτος	RP TR	@5					@5	@5	|
Mat.15.8	@1:9	τῷ	RP TR	@6					@6	@6	|
Mat.15.8	@1:10	στόματι	RP TR	@7					@7	@7	|
Mat.15.8	@1:11	αὐτῶν	RP TR	@8					@8	@8	|
Mat.15.8	@1:12	καὶ	RP TR	@9					@9	@9	|
Mat.15.12	@1:1	μαθηταὶ	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.15.12	@1:2	αὐτοῦ	Treg RP TR	@5					@5	@5	|
Mat.15.12	@2:1	λέγουσιν	SBL WH Treg NA28 NA27 NIV	@6	@5	@6	@5	@6			|
Mat.15.12	@2:2	εἶπον	RP TR	@80					@6	@80	|
Mat.15.14	@1:1	τυφλοί	SBL Treg NA28 NA27	@3	@3	@3	@3	@3			|
Mat.15.14	@1:2	εἰσιν	SBL Treg NA28 NA27	@4	@4	@4	@4	@4			|
Mat.15.14	@1:3	ὁδηγοὶ	SBL Treg NA28 NA27	@5	@5	@5	@5	@5			|
Mat.15.14	@1:4	τυφλῶν	SBL Treg NA28 NA27	@6	@6	@6	@6	@6			|
Mat.15.14	@1:5	τυφλοί	WH NIV								|
Mat.15.14	@1:6	εἰσιν	WH NIV								|
Mat.15.14	@1:7	ὁδηγοί	WH NIV								|
Mat.15.14	@1:8	ὁδηγοί	RP TR	@5					@3	@5	|
Mat.15.14	@1:9	εἰσιν	RP TR	@4					@4	@4	|
Mat.15.14	@1:10	τυφλοὶ	RP TR	@3					@5	@3	|
Mat.15.14	@1:11	τυφλῶν	RP TR	@6					@6	@6	|
Mat.15.15	@1:1	ταύτην	SBL RP NA28 NA27 NIV TR	@11	@11	@11	@11	@11	@11	@11	|
Mat.15.16	@1:1	δὲ	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.15.16	@1:2	Ἰησοῦς	RP TR	@3					@3	@3	|
Mat.15.17	@1:1	οὐ	SBL WH Treg NA28 NA27 NIV	@1	@1	@1	@1	@1			|
Mat.15.17	@1:2	Οὔπω	RP TR	@80					@1	@80	|
Mat.15.22	@1:1	ἔκραζεν	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.15.22	@1:2	ἐκραύγασεν	RP TR	@80					@10	@80	|
Mat.15.22	@1:3	αὐτῷ	RP TR	@11					@11	@11	|
Mat.15.22	@2:1	υἱὸς	SBL WH Treg NA28 NA27 NIV	@16	@15	@16	@15	@16			|
Mat.15.22	@2:2	υἱὲ	RP TR	@81					@16	@81	|
Mat.15.23	@1:1	ἠρώτουν	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.15.23	@1:2	ἠρώτων	RP TR	@80					@12	@80	|
Mat.15.25	@1:1	προσεκύνει	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.15.25	@1:2	προσεκύνησεν	RP TR	@80					@4	@80	|
Mat.15.30	@1:1	κωφούς,	SBL Holmes	@12	@9	@12					|
Mat.15.30	@1:2	τυφλούς,	SBL Holmes	@10	@10	@10					|
Mat.15.30	@1:3	χωλούς,	SBL Holmes	@9	@11	@9					|
Mat.15.30	@1:4	κυλλούς	SBL Holmes	@11	@12	@11					|
Mat.15.30	@1:5	χωλούς,	WH								|
Mat.15.30	@1:6	κυλλούς,	WH								|
Mat.15.30	@1:7	τυφλούς,	WH								|
Mat.15.30	@1:8	κωφούς	WH								|
Mat.15.30	@1:9	χωλούς,	Treg RP TR	@9					@9	@9	|
Mat.15.30	@1:10	τυφλούς,	Treg RP TR	@10					@10	@10	|
Mat.15.30	@1:11	κωφούς,	Treg RP TR	@12					@11	@12	|
Mat.15.30	@1:12	κυλλούς	Treg RP TR	@11					@12	@11	|
Mat.15.30	@1:13	χωλούς,	NA28 NA27 NIV	@9			@9	@9			|
Mat.15.30	@1:14	τυφλούς,	NA28 NA27 NIV	@10			@10	@10			|
Mat.15.30	@1:15	κυλλούς,	NA28 NA27 NIV	@11			@11	@11			|
Mat.15.30	@1:16	κωφούς	NA28 NA27 NIV	@12			@12	@12			|
Mat.15.30	@2:1	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@22	@22	@22	@22	@22			|
Mat.15.30	@2:2	τοῦ	RP TR	@80					@22	@80	|
Mat.15.30	@2:3	Ἰησοῦ	RP TR	@23					@23	@23	|
Mat.15.31	@1:1	τὸν	SBL WH NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Mat.15.31	@1:2	ὄχλον	SBL WH NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.15.31	@1:3	τοὺς	Treg RP TR	@81					@2	@81	|
Mat.15.31	@1:4	ὄχλους	Treg RP TR	@80					@3	@80	|
Mat.15.31	@2:1	κυλλοὺς	SBL Treg RP NA28 NA27 NIV TR	@8	@8	@8	@8	@8	@8	@8	|
Mat.15.31	@2:2	ὑγιεῖς	SBL Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.15.31	@3:1	καὶ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.15.33	@1:1	μαθηταί	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.15.33	@1:2	αὐτοῦ	Treg RP TR	@6					@6	@6	|
Mat.15.35	@1:1	παραγγείλας	SBL WH Treg NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Mat.15.35	@1:2	ἐκέλευσεν	RP TR	@80					@2	@80	|
Mat.15.35	@2:1	τῷ	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.15.35	@2:2	ὄχλῳ	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.15.35	@2:3	τοῖς	RP TR	@81					@3	@81	|
Mat.15.35	@2:4	ὄχλοις	RP TR	@82					@4	@82	|
Mat.15.36	@1:1	ἔλαβεν	SBL WH Treg NA28 NA27 NIV	@2	@1	@2	@1	@2			|
Mat.15.36	@1:2	καὶ	RP TR	@1					@1	@1	|
Mat.15.36	@1:3	λαβὼν	RP TR	@80					@2	@80	|
Mat.15.36	@2:1	καὶ	SBL WH Treg NA28 NA27 NIV	@9	@8	@9	@8	@9			|
Mat.15.36	@3:1	ἐδίδου	SBL WH Treg NA28 NA27 NIV	@13	@12	@13	@12	@13			|
Mat.15.36	@3:2	ἔδωκεν	RP TR	@81					@12	@81	|
Mat.15.36	@4:1	μαθηταῖς	SBL WH Treg RP NA28 NA27 NIV TR	@15	@14	@15	@14	@15	@14	@15	|
Mat.15.36	@4:2	αὐτοῦ	Treg RP TR	@16					@15	@16	|
Mat.15.36	@5:1	τοῖς	SBL WH Treg NA28 NA27 NIV	@20	@18	@20	@18	@20			|
Mat.15.36	@5:2	ὄχλοις	SBL WH Treg NA28 NA27 NIV	@21	@19	@21	@19	@21			|
Mat.15.36	@5:3	τῷ	RP TR	@82					@19	@82	|
Mat.15.36	@5:4	ὄχλῷ	RP TR	@83					@20	@83	|
Mat.15.37	@1:1	τὸ	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.15.37	@1:2	κλασμάτων	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.15.37	@1:3	ἦραν	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.15.37	@1:4	ἦραν	RP TR	@11					@7	@11	|
Mat.15.37	@1:5	τὸ	RP TR	@7					@8	@7	|
Mat.15.37	@1:6	κλασμάτων	RP TR	@10					@11	@10	|
Mat.15.39	@1:1	Μαγαδάν	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Mat.15.39	@1:2	Μαγδαλά	RP TR	@14					@14	@14	|
Mat.16.2	@1:1	Ὀψίας	SBL WH Treg RP NA28 NA27 NIV TR WHbrackets	@6	@6	@6	@6	@6	@6	@6	|
Mat.16.2	@1:2	γενομένης	SBL WH Treg RP NA28 NA27 NIV TR WHbrackets	@7	@7	@7	@7	@7	@7	@7	|
Mat.16.2	@1:3	οὐ	SBL WH Treg RP NA28 NA27 NIV TR WHbrackets	Mat.16.3#23	Mat.16.3#22	Mat.16.3#23	Mat.16.3#22	Mat.16.3#23	Mat.16.3#23	Mat.16.3#23	|
Mat.16.2	@1:4	δύνασθε	SBL WH Treg RP NA28 NA27 NIV TR WHbrackets	Mat.16.3#24	Mat.16.3#23	Mat.16.3#24	Mat.16.3#23	Mat.16.3#24	Mat.16.3#24	Mat.16.3#24	|
Mat.16.2	@2:1	τὸ	SBL WH Treg NA28 NA27 NIV WHbrackets	Mat.16.3#11	Mat.16.3#10	Mat.16.3#11	Mat.16.3#10	Mat.16.3#11			|
Mat.16.2	@2:2	Ὑποκριταί	RP TR	Mat.16.3#10					Mat.16.3#10	Mat.16.3#10	|
Mat.16.2	@2:3	τὸ	RP TR	Mat.16.3#11					Mat.16.3#11	Mat.16.3#11	|
Mat.16.4	@1:1	Ἰωνᾶ	SBL WH Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Mat.16.4	@1:2	τοῦ	RP TR	@17					@17	@17	|
Mat.16.4	@1:3	προφήτου	RP TR	@18					@18	@18	|
Mat.16.5	@1:1	μαθηταὶ	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.16.5	@1:2	αὐτοῦ	RP TR	@5					@5	@5	|
Mat.16.8	@1:1	εἶπεν	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.16.8	@1:2	αὐτοῖς	RP TR	@6					@6	@6	|
Mat.16.8	@2:1	ἐλάβετε	SBL Treg RP TR	@80	@14	@80			@15	@80	|
Mat.16.8	@2:2	ἔχετε	WH NA28 NA27 NIV	@15			@14	@15			|
Mat.16.11	@1:1	ἄρτων	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.16.11	@1:2	ἄρτου	RP TR	@80					@7	@80	|
Mat.16.11	@2:1	προσέχετε	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.16.11	@2:2	δὲ	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.16.11	@2:3	προσέχειν	RP TR	@81					@10	@81	|
Mat.16.12	@1:1	τῶν	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.16.12	@1:2	ἄρτων	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.16.12	@1:3	τοῦ	RP TR	@81					@10	@81	|
Mat.16.12	@1:4	ἄρτου	RP TR	@80					@11	@80	|
Mat.16.13	@1:1	Τίνα	SBL WH Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Mat.16.13	@1:2	με	RP TR	@17					@17	@17	|
Mat.16.17	@1:1	ἀποκριθεὶς	SBL WH Treg NA28 NA27 NIV	@2	@1	@2	@1	@2			|
Mat.16.17	@1:2	δὲ	SBL WH Treg NA28 NA27 NIV	@3	@2	@3	@2	@3			|
Mat.16.17	@1:3	Καὶ	RP TR	@1					@1	@1	|
Mat.16.17	@1:4	ἀποκριθεὶς	RP TR	@2					@2	@2	|
Mat.16.19	@1:1	δώσω	SBL WH NA28 NA27 NIV	@2	@1	@2	@1	@2			|
Mat.16.19	@1:2	καὶ	Treg RP TR	@1					@1	@1	|
Mat.16.19	@1:3	δώσω	Treg RP TR	@2					@2	@2	|
Mat.16.19	@2:1	κλεῖδας	SBL WH Treg NA28 NA27 NIV	@5	@4	@5	@4	@5			|
Mat.16.19	@2:2	κλεῖς	RP TR	@80					@5	@80	|
Mat.16.19	@3:1	ἐὰν	SBL WH RP NA28 NA27 NIV TR	@12	@11	@12	@11	@12	@12	@12	|
Mat.16.19	@3:2	ἂν	Treg								|
Mat.16.19	@4:1	ἐὰν	SBL WH RP NA28 NA27 NIV TR	@24	@23	@24	@23	@24	@24	@24	|
Mat.16.19	@4:2	ἂν	Treg								|
Mat.16.20	@1:1	διεστείλατο	SBL Treg RP NA28 NA27 TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.16.20	@1:2	ἐπετίμησεν	WH NIV								|
Mat.16.20	@2:1	μαθηταῖς	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.16.20	@2:2	αὐτοῦ	RP TR	@5					@5	@5	|
Mat.16.20	@3:1	ἐστιν	SBL WH Treg RP NA28 NA27 NIV TR	@11	@10	@11	@10	@11	@11	@11	|
Mat.16.20	@3:2	Ἰησοῦς	RP TR	@12					@12	@12	|
Mat.16.21	@1:1	ὁ	SBL Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.16.21	@1:2	Ἰησοῦς	SBL Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.16.21	@1:3	Ἰησοῦς	WH								|
Mat.16.21	@1:4	Χριστὸς	WH								|
Mat.16.21	@2:1	εἰς	SBL WH Treg NA28 NA27 NIV	@14	@13	@14	@13	@14			|
Mat.16.21	@2:2	Ἱεροσόλυμα	SBL WH Treg NA28 NA27 NIV	@15	@14	@15	@14	@15			|
Mat.16.21	@2:3	ἀπελθεῖν	SBL WH Treg NA28 NA27 NIV	@16	@15	@16	@15	@16			|
Mat.16.21	@2:4	ἀπελθεῖν	RP TR	@16					@13	@16	|
Mat.16.21	@2:5	εἰς	RP TR	@14					@14	@14	|
Mat.16.21	@2:6	Ἱεροσόλυμα	RP TR	@15					@15	@15	|
Mat.16.23	@1:1	εἶ	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.16.23	@1:2	ἐμοῦ	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.16.23	@1:3	μου	RP TR	@80					@12	@80	|
Mat.16.23	@1:4	εἶ	RP TR	@12					@13	@12	|
Mat.16.25	@1:1	ἐὰν	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.16.25	@1:2	ἂν	RP TR	@80					@3	@80	|
Mat.16.26	@1:1	ὠφεληθήσεται	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.16.26	@1:2	ὠφελεῖται	RP TR	@80					@3	@80	|
Mat.16.28	@1:1	ὅτι	SBL WH NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.16.28	@2:1	τῶν	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.16.28	@2:2	ὧδε	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.16.28	@2:3	ἑστώτων	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.16.28	@2:4	ὧδε	RP TR	@8					@6	@8	|
Mat.16.28	@2:5	ἑστῶτες	RP TR	@80					@7	@80	|
Mat.17.2	@1:1	ἐγένετο	SBL WH Treg NA28 NA27 NIV	@17	@17	@17	@17	@17			|
Mat.17.2	@1:2	ἐγένοντο	RP TR	@80					@17	@80	|
Mat.17.3	@1:1	ὤφθη	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.17.3	@1:2	ὤφθησαν	RP TR	@80					@3	@80	|
Mat.17.3	@2:1	συλλαλοῦντες	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.17.3	@2:2	μετʼ	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.17.3	@2:3	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.17.3	@2:4	μετʼ	RP TR	@9					@8	@9	|
Mat.17.3	@2:5	αὐτοῦ	RP TR	@10					@9	@10	|
Mat.17.3	@2:6	συλλαλοῦντες	RP TR	@8					@10	@8	|
Mat.17.4	@1:1	ποιήσω	SBL WH NA28 NA27 NIV	@16	@16	@16	@16	@16			|
Mat.17.4	@1:2	ποιήσωμεν	Treg RP TR	@80					@16	@80	|
Mat.17.4	@2:1	Ἠλίᾳ	SBL WH Treg NA28 NA27 NIV	@26	@26	@26	@26	@26			|
Mat.17.4	@2:2	μίαν	SBL WH Treg NA28 NA27 NIV	@27	@27	@27	@27	@27			|
Mat.17.4	@2:3	μίαν	RP TR	@27					@26	@27	|
Mat.17.4	@2:4	Ἠλίᾳ	RP TR	@26					@27	@26	|
Mat.17.5	@1:1	ἀκούετε	SBL WH Treg NA28 NA27 NIV	@26	@26	@26	@26	@26			|
Mat.17.5	@1:2	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@27	@27	@27	@27	@27			|
Mat.17.5	@1:3	αὐτοῦ	RP TR	@27					@26	@27	|
Mat.17.5	@1:4	ἀκούετε	RP TR	@26					@27	@26	|
Mat.17.7	@1:1	προσῆλθεν	SBL WH NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Mat.17.7	@1:2	ὁ	SBL WH NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.17.7	@1:3	Ἰησοῦς	SBL WH NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.17.7	@1:4	καὶ	SBL WH NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.17.7	@1:5	ἁψάμενος	SBL WH NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.17.7	@1:6	αὐτῶν	SBL WH NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.17.7	@1:7	προσῆλθεν	Treg								|
Mat.17.7	@1:8	ὁ	Treg								|
Mat.17.7	@1:9	Ἰησοῦς	Treg								|
Mat.17.7	@1:10	καὶ	Treg								|
Mat.17.7	@1:11	ἥψατο	Treg								|
Mat.17.7	@1:12	αὐτῶν	Treg								|
Mat.17.7	@1:13	προσελθὼν	RP TR	@80					@2	@80	|
Mat.17.7	@1:14	ὁ	RP TR	@3					@3	@3	|
Mat.17.7	@1:15	Ἰησοῦς	RP TR	@4					@4	@4	|
Mat.17.7	@1:16	ἥψατο	RP TR	@81					@5	@81	|
Mat.17.7	@1:17	αὐτῶν	RP TR	@7					@6	@7	|
Mat.17.7	@1:18	καὶ	RP TR	@5					@7	@5	|
Mat.17.8	@1:1	αὐτὸν	SBL WH NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.17.8	@1:2	τὸν	Treg RP TR	@80					@10	@80	|
Mat.17.9	@1:1	ἐγερθῇ	SBL WH Treg NA28 NA27 NIV	@24	@24	@24	@24	@24			|
Mat.17.9	@1:2	ἀναστῇ	RP TR	@80					@24	@80	|
Mat.17.10	@1:1	μαθηταὶ	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.17.10	@1:2	αὐτοῦ	RP TR	@6					@6	@6	|
Mat.17.11	@1:1	δὲ	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.17.11	@1:2	Ἰησοῦς	RP TR	@3					@3	@3	|
Mat.17.11	@2:1	εἶπεν	SBL WH Treg RP NA28 NA27 NIV TR	@5	@4	@5	@4	@5	@5	@5	|
Mat.17.11	@2:2	αὐτοῖς	RP TR	@6					@6	@6	|
Mat.17.11	@3:1	ἔρχεται	SBL WH Treg RP NA28 NA27 NIV TR	@9	@7	@9	@7	@9	@9	@9	|
Mat.17.11	@3:2	πρῶτον	RP TR	@10					@10	@10	|
Mat.17.14	@1:1	ἐλθόντων	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.17.14	@1:2	αὐτῶν	RP TR	@3					@3	@3	|
Mat.17.15	@1:1	πάσχει	SBL RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
Mat.17.15	@1:2	ἔχει	WH Treg								|
Mat.17.17	@1:1	μεθʼ	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.17.17	@1:2	ὑμῶν	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Mat.17.17	@1:3	ἔσομαι	SBL WH Treg NA28 NA27 NIV	@15	@15	@15	@15	@15			|
Mat.17.17	@1:4	ἔσομαι	RP TR	@15					@13	@15	|
Mat.17.17	@1:5	μεθʼ	RP TR	@13					@14	@13	|
Mat.17.17	@1:6	ὑμῶν	RP TR	@14					@15	@14	|
Mat.17.20	@1:1	λέγει	SBL WH Treg NA28 NA27 NIV	@4	@3	@4	@3	@4			|
Mat.17.20	@1:2	Ἰησοῦς	RP TR	@3					@3	@3	|
Mat.17.20	@1:3	εἶπεν	RP TR	@83					@4	@83	|
Mat.17.20	@2:1	ὀλιγοπιστίαν	SBL WH Treg NA28 NA27 NIV	@8	@7	@8	@7	@8			|
Mat.17.20	@2:2	ἀπιστίαν	RP TR	@81					@8	@81	|
Mat.17.20	@3:1	Μετάβα	SBL WH Treg NA28 NA27 NIV	@24	@23	@24	@23	@24			|
Mat.17.20	@3:2	ἔνθεν	SBL WH Treg NA28 NA27 NIV	@25	@24	@25	@24	@25			|
Mat.17.20	@3:3	Μετάβηθι	RP TR	@82					@24	@82	|
Mat.17.20	@3:4	ἔντεῦθεν	RP TR	@80					@25	@80	|
Mat.17.20	@4:1	ὑμῖν	SBL WH Treg RP NA28 NA27 NIV TR	@32	@31	@32	@31	@32	@32	@32	|
Mat.17.20	@4:2	Τοῦτο	Treg RP TR	Mat.17.21#1					Mat.17.21#1	Mat.17.21#1	|
Mat.17.20	@4:3	δὲ	Treg RP TR	Mat.17.21#2					Mat.17.21#2	Mat.17.21#2	|
Mat.17.20	@4:4	τὸ	Treg RP TR	Mat.17.21#3					Mat.17.21#3	Mat.17.21#3	|
Mat.17.20	@4:5	γένος	Treg RP TR	Mat.17.21#4					Mat.17.21#4	Mat.17.21#4	|
Mat.17.20	@4:6	οὐκ	Treg RP TR	Mat.17.21#5					Mat.17.21#5	Mat.17.21#5	|
Mat.17.20	@4:7	ἐκπορεύεται	Treg RP TR	Mat.17.21#6					Mat.17.21#6	Mat.17.21#6	|
Mat.17.20	@4:8	εἰ	Treg RP TR	Mat.17.21#7					Mat.17.21#7	Mat.17.21#7	|
Mat.17.20	@4:9	μὴ	Treg RP TR	Mat.17.21#8					Mat.17.21#8	Mat.17.21#8	|
Mat.17.20	@4:10	ἐν	Treg RP TR	Mat.17.21#9					Mat.17.21#9	Mat.17.21#9	|
